video_id,model,camera,exercise,is_coach,n_outlier_frames,mean_outlier_nmpjpe,max_nmpjpe,frame_count,total_frames,outlier_rate
PM_121-c17,YOLO,c17,Ex3,True,456,85.55139652003186,576.5528808259412,456,561,81.28342245989305
PM_010-c17,MediaPipe,c17,Ex3,True,334,285.3691995249594,461.43725664283056,334,1356,24.63126843657817
PM_112-c18,YOLO,c18,Ex5,False,314,52.575803210228926,85.1955857366617,314,1482,21.18758434547908
PM_010-c17,YOLO,c17,Ex3,True,305,243.037224199042,390.5062648076501,305,1357,22.47605011053795
PM_010-c17,MoveNet,c17,Ex3,True,301,257.75766102618485,401.378467772895,301,1357,22.181282240235813
PM_112-c18,MediaPipe,c18,Ex5,False,294,73.93122597139198,167.23601185234978,294,1482,19.838056680161944
PM_108-c17,MoveNet,c17,Ex3,True,259,138.94290536840373,525.1687124224856,259,943,27.465535524920465
PM_042-c18,YOLO,c18,Ex5,False,257,48.481539355991615,65.93051396350576,257,1205,21.327800829875518
PM_121-c17,MoveNet,c17,Ex3,True,250,107.70681415414,578.8961651945255,250,569,43.936731107205624
PM_121-c17,MediaPipe,c17,Ex3,True,240,31.533480570834026,38.22751925255576,240,569,42.1792618629174
PM_025-c17,MediaPipe,c17,Ex2,False,236,128.8334839262266,489.18320931120724,236,865,27.28323699421965
PM_028-c18,MediaPipe,c18,Ex5,False,212,60.04920472585847,73.33216252536447,212,1213,17.477328936521022
PM_021-c18,YOLO,c18,Ex5,False,209,41.93127342569144,64.96318392226212,209,949,22.0231822971549
PM_027-c17,YOLO,c17,Ex4,False,197,129.03101733140252,341.8873123173564,197,1369,14.390065741417093
PM_112-c17,MoveNet,c17,Ex5,False,197,140.18947072559064,487.50791488594393,197,1482,13.29284750337382
PM_021-c17,MediaPipe,c17,Ex5,False,191,166.87911877279157,382.40324355642656,191,948,20.147679324894515
PM_042-c18,MediaPipe,c18,Ex5,False,191,47.90861956173417,64.6259840455318,191,1205,15.850622406639003
PM_025-c18,YOLO,c18,Ex2,False,190,45.958236976328,125.20836649327832,190,867,21.91464821222607
PM_027-c18,YOLO,c18,Ex4,False,186,51.857877076082374,133.75885242623167,186,1369,13.586559532505479
PM_003-c17,MediaPipe,c17,Ex2,False,176,73.00012234006557,177.59685103842696,176,1592,11.055276381909549
PM_014-c17,MediaPipe,c17,Ex2,False,148,132.60664416242585,408.01277655205047,148,1733,8.540103866128101
PM_027-c17,MoveNet,c17,Ex4,False,144,183.9959453660341,379.6090727392283,144,1369,10.51862673484295
PM_108-c17,YOLO,c17,Ex3,True,140,229.7882430907566,574.1069473723246,140,943,14.846235418875928
PM_125-c18,YOLO,c18,Ex5,False,127,49.32554805357413,61.04166004096817,127,1050,12.095238095238095
PM_102-c18,YOLO,c18,Ex2,False,126,32.80252650133637,54.446653815366226,126,1665,7.567567567567568
PM_027-c18,MoveNet,c18,Ex4,False,123,49.99383732453156,97.90301566589713,123,1369,8.984660336011688
PM_028-c18,YOLO,c18,Ex5,False,122,42.00914802754219,67.19950352055942,122,1213,10.057708161582852
PM_125-c18,MoveNet,c18,Ex5,False,121,52.24170197345011,65.31803864468178,121,1050,11.523809523809524
PM_024-c17,MediaPipe,c17,Ex1,False,120,69.11055369789895,183.51402324754727,120,692,17.341040462427745
PM_119-c17,YOLO,c17,Ex3,True,117,267.3529234554479,522.6624581960581,117,506,23.122529644268774
PM_025-c17,MoveNet,c17,Ex2,False,105,270.37610230509785,320.07154955734865,105,867,12.110726643598616
PM_119-c17,MoveNet,c17,Ex3,True,104,336.49855303226957,511.3360446800335,104,506,20.55335968379447
PM_014-c17,MoveNet,c17,Ex2,False,103,297.20609259734766,364.37829083897805,103,1749,5.889079473985134
PM_121-c18,YOLO,c18,Ex3,False,102,36.657505096469514,53.38366925254704,102,569,17.926186291739896
PM_023-c17,MediaPipe,c17,Ex1,False,99,159.68404125213058,374.618836365847,99,512,19.3359375
PM_011-c17,MoveNet,c17,Ex3,True,98,277.61315749751355,421.77491028548593,98,545,17.98165137614679
PM_021-c18,MediaPipe,c18,Ex5,False,98,44.34093377104745,169.42295373987494,98,949,10.326659641728135
PM_025-c17,YOLO,c17,Ex2,False,97,276.96801911738334,309.5308261992963,97,867,11.18800461361015
