model,mean_jitter,median_jitter,std_jitter,p90_jitter,p95_jitter,n_transitions
MediaPipe,1.5127645968429484,0.5285000406194396,4.5302892814633395,2.4781058501374957,5.193456229854321,117091
MoveNet,1.0634378996614817,0.4219616221972835,3.1248408845365545,1.9882920780365247,3.5019975713411475,117043
YOLO,1.1223053094142181,0.3771953695280281,3.1962893110255632,2.1219304911933428,3.9103018001163026,113301
