video_id,sampled_frames,mediapipe_0p,mediapipe_1p,mediapipe_2p_plus,mediapipe_0p_pct,mediapipe_1p_pct,mediapipe_2p_plus_pct
PM_010,408,2,216,190,0.49019607843137253,52.94117647058824,46.568627450980394
PM_011,164,0,120,44,0.0,73.17073170731707,26.82926829268293
PM_108,283,0,272,11,0.0,96.113074204947,3.8869257950530036
PM_119,152,0,128,24,0.0,84.21052631578947,15.789473684210526
PM_121,171,0,170,1,0.0,99.41520467836257,0.5847953216374269
TOTAL,1178,2,906,270,0.1697792869269949,76.91001697792869,22.920203735144312
