image_id,model,nmpjpe,n_valid_joints,is_detection_failure,is_outlier,torso_length,n_persons_in_image,is_single_person,error_left_shoulder,error_right_shoulder,error_left_elbow,error_right_elbow,error_left_wrist,error_right_wrist,error_left_hip,error_right_hip,error_left_knee,error_right_knee,error_left_ankle,error_right_ankle
65350,MediaPipe_Lite,13.768903778022336,11,False,False,65.45991139621256,3,False,7.4019954410863535,15.727309889465538,14.41608562202985,4.1540919454875285,,7.181564760563727,25.378646835332532,30.371992720704675,16.958875541604804,15.410305940474684,3.650678594308733,10.806394267187232
65736,MediaPipe_Lite,8.93409750203219,12,False,False,99.9599919967984,1,True,10.479260383615136,2.957165056871426,14.102222816683575,3.83991783010741,22.72899202744864,9.98673554795548,16.71816939720492,14.803662000353384,1.974965288810973,5.876767952571509,0.8169323617294085,2.924379361034396
65798,MediaPipe_Lite,205.8633526984859,12,False,True,21.213203435596427,2,False,242.8170858255952,221.0782613755566,243.22456571354616,165.79420476985473,210.8662935573155,110.58574227753432,140.51015184553262,145.20339159058304,213.63735188772304,200.20080342104316,306.61219796419755,269.830182153349
66038,MediaPipe_Lite,57.71807731717569,7,False,False,40.02811511925087,4,False,12.351573320940078,31.421948287945067,,62.819730477449866,,91.8599755350181,63.85366958116013,63.0821768510256,,78.637467166691,,
66231,MediaPipe_Lite,9.597621903330902,7,False,False,72.88689868556625,4,False,5.040864646573963,7.762468988615236,10.11589439643842,,8.836058299431231,10.385177010586409,10.219602951154972,14.823287030516074,,,,
67180,MediaPipe_Lite,9.492035423683117,12,False,False,127.53528923399986,1,True,13.234638471960263,8.367947215583774,2.3602786968232743,3.392581267658259,8.694984701978502,2.8858284643622945,15.240151905423124,10.803813184998717,4.710523051362324,11.206038181798943,14.82371533099554,18.18392461125238
67310,MediaPipe_Lite,14.054023164230818,12,False,False,84.35786863120713,4,False,12.223598746207577,8.862356558631497,11.297157957436104,7.102156767912845,7.853815516909981,5.615285052487909,28.144437404562773,10.23569552692276,28.661188369446396,9.920331938950284,18.87002871780857,19.862225413493125
67616,MediaPipe_Lite,,0,True,False,41.43669871020132,1,True,,,,,,,,,,,,
68628,MediaPipe_Lite,10.619679516339824,11,False,False,98.71676655968832,1,True,7.831724473127975,8.086701877518466,3.5839981700540813,17.84094913576721,5.700903425371706,5.9659990543910695,12.052291019026288,9.649396021506076,12.99861075927741,25.168245903178104,,7.937654840519667
69356,MediaPipe_Lite,9.10729253238792,8,False,False,126.50098813843312,3,False,4.120740104637279,2.1315066357461854,,3.720162086383609,,8.670205261657546,13.644180919811369,12.327554447260074,,5.861665685636805,,22.382325117970492
70254,MediaPipe_Lite,8.819050072410924,6,False,False,57.5086949947571,4,False,3.354090273582195,8.240931767832897,,3.4408975984840118,,7.99200354186244,18.27936832478946,11.60700892791455,,,,
71877,MediaPipe_Lite,19.301479602736126,12,False,False,92.92604586443996,1,True,18.48710073428405,10.523764187482964,13.906826192183916,4.668292914341499,8.373442692084135,12.877271785880309,29.398566795415267,23.770912093944187,5.301802054854265,32.59063884587608,14.946123182961047,56.773013753525824
72281,MediaPipe_Lite,7.950042919762829,12,False,False,180.30598991714055,1,True,14.209197244535543,12.823497537056996,18.827086861661098,5.312968229238867,7.081094698514661,5.249062104627146,5.862218083114327,2.382231737053508,5.0525951433183245,4.854510899559807,6.351700762607811,7.394351735865862
72795,MediaPipe_Lite,,0,True,False,25.04495957273639,3,False,,,,,,,,,,,,
72852,MediaPipe_Lite,118.41905880201668,11,False,True,23.521266972678152,2,False,62.238876438151,98.3822542425884,134.20676759528612,152.43615085141656,,238.9129628909171,81.53973516739545,120.49517300908516,78.52980654609921,187.8671074627977,43.89371497535758,104.10709764308923
73153,MediaPipe_Lite,10.05509232815005,10,False,False,214.55826714438203,1,True,5.338227749630943,11.16681213331655,11.131083551887144,4.006019219574268,2.006294529022449,7.127045486118851,7.981760243480489,7.871336846894382,20.861856606982737,23.060486914592687,,
73702,MediaPipe_Lite,41.4921511815336,5,False,False,219.1603294394312,2,False,12.66902156943616,20.733959671753176,32.32190775510217,,,,68.20386551103275,73.53200140034373,,,,
73946,MediaPipe_Lite,22.98631670599092,6,False,False,143.10573014383456,2,False,45.78022441144408,10.966652482119596,,12.220731182689397,,4.900193523326995,32.36731233361588,31.682786302749573,,,,
74092,MediaPipe_Lite,186.2119406458228,11,False,True,52.77546778570513,3,False,179.19836146586152,193.08576833364123,137.0697946986002,270.1789463683124,,394.0744748356586,35.28900472434429,45.39215499831726,97.24528819390076,201.17341132105696,169.9460675397446,325.6780746246127
74256,MediaPipe_Lite,13.524348638292842,8,False,False,227.4906591488978,3,False,21.499863387318257,2.57801711169971,25.01533373505189,6.065242970857868,10.508364001147424,8.45879621969287,13.89570802212411,20.17346365845061,,,,
74860,MediaPipe_Lite,42.95016463084497,9,False,False,30.066592756745816,1,True,8.462752034175768,6.700858158799992,51.21234568825125,,57.62553460694146,,39.56460509891576,28.980034082557744,80.52788783086159,63.74489749792283,49.73256667917831,
76468,MediaPipe_Lite,25.108701776963493,11,False,False,49.09175083453431,2,False,8.484791083113327,39.73136657712067,9.150377407684164,,6.198540281893621,105.64805634008512,11.373418497387464,21.729603144325317,2.749463127338098,30.748452854033157,6.948476566613701,33.433173667003764
76547,MediaPipe_Lite,10.761912155336931,7,False,False,100.77822185373186,1,True,8.809622724966468,14.778188170684636,3.0235854973242944,,29.09664816809731,,7.99366193862478,6.844217835345648,4.787460752315381,,,
76625,MediaPipe_Lite,,0,True,False,24.627220712049503,5,False,,,,,,,,,,,,
79031,MediaPipe_Lite,15.171073863542455,10,False,False,156.56468311851177,1,True,28.45721612376972,9.486346637820509,,12.31224202110753,,3.2360330074896906,23.31952910921885,5.476644142006836,13.202170272545066,9.695780001081284,9.191622204529777,37.33315511585529
79229,MediaPipe_Lite,,0,True,False,42.52646234992984,1,True,,,,,,,,,,,,
79969,MediaPipe_Lite,13.572501941775425,10,False,False,73.11976476986233,3,False,7.512228786992571,7.412300224943667,,5.3708347119722175,,17.793991117073517,9.445174546545656,15.269820862636283,19.5207826531234,23.72572537824146,8.117960542693544,21.5562005935319
80153,MediaPipe_Lite,16.975949736412137,7,False,False,92.89241088485107,1,True,9.024022250246636,12.040006224718235,39.08398489738639,,9.563376240383231,,13.518140632280788,25.27570997012431,10.32640793974536,,,
