image_id,model,nmpjpe,n_valid_joints,is_detection_failure,is_outlier,torso_length,n_persons_in_image,is_single_person,error_left_shoulder,error_right_shoulder,error_left_elbow,error_right_elbow,error_left_wrist,error_right_wrist,error_left_hip,error_right_hip,error_left_knee,error_right_knee,error_left_ankle,error_right_ankle
139,MediaPipe,44.80813435709115,7,False,False,47.762432936357,1,True,29.61684830632206,43.051632182160084,13.512911631206581,,29.008416907676633,,58.05256592205388,61.687740252795344,78.72682529742347,,,
785,MediaPipe,8.779969725905266,12,False,False,94.86832980505137,1,True,1.8158404918763364,12.727808265874826,12.067992065153401,2.7248774729383696,23.61932707058626,6.669028606038499,13.931499728358782,14.559977274595525,4.525064419568509,1.537657707976869,5.826100002156395,5.354463605739444
885,MediaPipe,120.04762541393255,12,False,True,51.29571132170798,3,False,169.95659666718,124.16982775021933,209.54379988357346,135.88796940647273,236.21829656746783,77.72658373608246,50.811902546990964,65.09138263812422,37.37276229836007,134.8934872389523,19.661058016147628,179.23783821761964
1000,MediaPipe,31.96611753580707,9,False,False,113.1591799192624,11,False,21.50385950166926,29.703525404946944,53.75382252683413,38.42665053228773,55.292811860284154,,24.62947832468163,22.637015499132545,22.025300761665413,19.72259341076182,,
1490,MediaPipe,30.89937404608279,10,False,False,29.34706118165838,1,True,17.757848386913082,38.77160927816341,87.16854961098271,,87.24448008608182,,26.490600986233265,17.287190680224736,4.117362839586178,5.606348348178109,11.19237446010803,13.357375784356467
2153,MediaPipe,62.271945835935554,9,False,False,53.75872022286245,4,False,94.29623118596845,74.76776263377157,,,,260.2153004119185,19.304482619988125,24.552198174801347,14.157179204420006,21.663949826651976,37.81011386487344,13.680294601026613
2473,MediaPipe,,0,True,False,44.02556075736003,2,False,,,,,,,,,,,,
2532,MediaPipe,9.031439186958286,12,False,False,45.09988913511872,1,True,3.069570151052666,10.526876076875798,4.418631113193042,9.939314486669193,13.062634920164431,8.26707164316393,14.244798655045217,14.847749258600185,8.930499660796222,8.78743338842997,8.787845435831334,3.4948454536774447
2685,MediaPipe,12.898283572178148,8,False,False,127.78301921616972,5,False,9.30639225341666,6.80504917176457,,,,,30.103261223814854,29.49644021740781,1.32309217162758,11.591036010477978,4.800713913070317,9.760283615845418
3156,MediaPipe,9.084895602409478,9,False,False,202.72210042321484,1,True,2.7103733341745033,2.4800842763800937,,2.5782323569883783,5.087911458456216,2.6730498059532133,24.974540026549512,25.97007515149521,,9.009131514773362,,6.280662496914815
3934,MediaPipe,12.015779907961909,10,False,False,82.97590011563598,6,False,22.92143495040973,3.077953398356648,,10.081630673308732,,8.945987976900255,2.455693108499039,17.884464765239006,27.655627264145146,0.1300341790693426,21.133651713204117,5.871321050487064
4765,MediaPipe,10.71363729317194,12,False,False,47.71268175233918,1,True,21.414351999527607,1.8127137388189485,25.52809048548199,5.898820874423979,9.66461585869908,4.290261539951961,3.367728775658585,10.685455356688275,15.983878534981342,3.6873537464244723,15.498729161183327,10.73164744622372
5060,MediaPipe,7.97143111696651,12,False,False,83.59575348066431,1,True,1.0295591141177278,3.2589789674858953,4.426796330189762,4.691765759669581,3.4337172620874914,4.334265548970897,17.179176121138525,14.114884855289212,1.6410957839690192,4.358324537225246,18.504199625651037,18.684409497803724
5529,MediaPipe,6.651107440250061,12,False,False,89.56840960963859,1,True,3.9130855972682683,6.623994048542076,3.593517795149344,9.378289043301285,12.554399472753138,12.246677924229221,6.468904115054464,2.149774546712739,5.175897405772347,4.038899220754488,0.5782808641400017,13.091569249323376
5586,MediaPipe,14.154157172285595,8,False,False,21.70829334609241,1,True,3.910355240020005,19.12830924818945,4.859210463725846,,12.357816875843733,,22.59039210693336,24.577982526789437,18.061126853414322,,7.748064063368599,
6460,MediaPipe,25.99227834939406,9,False,False,27.518175811634027,1,True,28.334035949503356,8.56363212143597,35.11940326479427,,27.565336737623124,8.287429502352127,19.1486726385253,27.9997311539524,14.416795529351944,,64.49546824700802,
6471,MediaPipe,6.443144873184624,12,False,False,70.50709184188496,8,False,2.532841966734068,4.351060862373234,25.678023806902495,1.0393347820934384,9.245294531573558,4.7941009623444675,4.5330291260391435,6.9116716846286845,4.780092294460788,7.689420780376835,2.6515804771952007,3.111287203493575
