image_id,model,nmpjpe,n_valid_joints,is_detection_failure,is_outlier,torso_length,n_persons_in_image,is_single_person,error_left_shoulder,error_right_shoulder,error_left_elbow,error_right_elbow,error_left_wrist,error_right_wrist,error_left_hip,error_right_hip,error_left_knee,error_right_knee,error_left_ankle,error_right_ankle
139,MediaPipe_Heavy,79.93916163676992,4,False,False,47.762432936357,1,True,51.19140759559271,65.72217492172577,,,,,96.20609395779375,106.63697007196747,,,,
785,MediaPipe_Heavy,8.665517900293661,11,False,False,94.86832980505137,1,True,0.8836655648967264,12.857219983625395,6.274427541967298,,12.554001693627349,6.588388762465216,12.659689664617076,18.025075722272533,5.0926443511955,3.1181800840189884,7.800834897458985,9.466568637085203
885,MediaPipe_Heavy,51.031642102449695,9,False,False,51.29571132170798,3,False,77.30987641159093,21.11765515120057,,22.8503493626708,219.65741113767464,11.87095444595372,65.09928895468714,15.039693132663892,12.793458959513748,,13.546091366091769,
1000,MediaPipe_Heavy,8.902891561992218,8,False,False,113.1591799192624,11,False,5.055525293902882,10.586650324748879,4.474098226631959,11.928889492761568,,,7.199282978982538,7.100502622724508,3.849160034071014,21.029023522114397,,
1490,MediaPipe_Heavy,27.185869039115623,10,False,False,29.34706118165838,1,True,10.167808157875202,34.1049946995296,76.70384145719154,,87.17389562899949,,24.30557692280571,10.924337084795253,6.926345058243038,1.2272785919773157,9.300668627933693,11.023944161805401
2153,MediaPipe_Heavy,109.13476232189029,8,False,True,53.75872022286245,4,False,72.26871653031671,43.713416902570515,,163.49244158908013,,267.10876612635485,15.437975652364443,30.358012221693226,,,12.612220343296144,268.08654920944633
2473,MediaPipe_Heavy,,0,True,False,44.02556075736003,2,False,,,,,,,,,,,,
2532,MediaPipe_Heavy,8.849163395309828,12,False,False,45.09988913511872,1,True,6.157373651223908,10.900690880054594,7.258122167410475,5.07791564505586,6.703492820612205,4.79507367313784,17.572415158984626,15.709564187220861,9.102711746991748,8.744357271425407,9.73075844403262,4.437485097567789
2685,MediaPipe_Heavy,20.83375336386639,4,False,False,127.78301921616972,5,False,1.109036770228991,17.29929463852473,,,,,31.344880044872532,33.5818020018393,,,,
3156,MediaPipe_Heavy,8.574069834303506,8,False,False,202.72210042321484,1,True,2.360183821713482,2.86612236987855,,2.3684467218012135,,7.54285821778502,21.483704967319056,26.503049058768653,,3.102924269359162,,2.3652692478029103
3934,MediaPipe_Heavy,11.24989353120041,8,False,False,82.97590011563598,6,False,22.402946305836945,2.5025031504614104,,12.253801826967843,,8.015661638329394,13.072906090045002,17.80791408281285,,9.870613462290388,,4.0728016928594455
4765,MediaPipe_Heavy,10.464200326868742,12,False,False,47.71268175233918,1,True,21.448767743895157,9.105693251157842,13.907671460473331,5.470463565991792,9.792777827359114,1.3214569055193581,7.313858345744714,10.633553968674715,7.23804925916103,10.484016960031925,19.709480301533596,9.144614332882332
5060,MediaPipe_Heavy,6.636390433419609,12,False,False,83.59575348066431,1,True,3.747418673882537,3.132451841623226,2.327116196812061,7.860771358512415,4.481690954394546,6.63600455580989,13.159549326443953,10.526692118791924,16.22699940450855,2.9175931123539374,3.2173114904955913,5.403086167406665
5529,MediaPipe_Heavy,7.037311995663486,12,False,False,89.56840960963859,1,True,3.0539056507268123,1.272186675144136,6.100614185331909,12.997500687892034,11.796707825391687,13.5674365181405,5.404805067667915,0.9796086058575536,5.072845776944323,4.3552603415608795,6.181512882943004,13.66535973036106
5586,MediaPipe_Heavy,10.722383043092112,9,False,False,21.70829334609241,1,True,3.7879386444594703,7.57825596019108,2.543191425409584,,4.042372372875904,,22.855993120264635,20.992256596713275,18.07330999279591,,4.15917983371961,12.468949441399547
6460,MediaPipe_Heavy,20.3729304049565,4,False,False,27.518175811634027,1,True,27.130367895754137,8.862590980877744,,,,,20.521609022080575,24.97715372111353,,,,
6471,MediaPipe_Heavy,4.663349326551975,12,False,False,70.50709184188496,8,False,5.387816630194699,5.816085129832905,1.7993071988293081,1.5704575292008343,8.66667179927493,3.460713798137548,2.013234975068903,4.7471405855455915,4.608223015614741,8.617254819863664,2.3172261066500752,6.956060330410507
7088,MediaPipe_Heavy,7.875145443090147,11,False,False,69.85162847063768,1,True,4.8647386118206795,2.096324902090857,5.606003268772013,,5.7539216588687445,5.9505472515542035,9.041739415866566,17.330280112407216,7.304807144736074,9.559198842833535,8.584505997736562,10.534532667305157
7278,MediaPipe_Heavy,14.08077594490257,7,False,False,64.92495668077107,1,True,9.884855197646019,10.959141578026507,15.145934121641858,,9.697379225226568,,21.376875104246253,18.983945822440095,12.51730056509069,,,
7511,MediaPipe_Heavy,6.080751469603288,7,False,False,76.05918747922567,1,True,2.772365128465876,5.740188525692832,2.659116783922264,,,6.54643042497918,8.969021508147787,14.412568655464788,1.4655692605502908,,,
7816,MediaPipe_Heavy,28.420693330779457,4,False,False,73.62404498531713,7,False,8.720182743543463,26.596457198060868,,,,,42.81370799110384,35.55242539040967,,,,
7977,MediaPipe_Heavy,8.274225790731878,8,False,False,88.32326986700618,1,True,13.52235968243316,3.478396069194628,6.9296930377796855,,6.297977408423115,,6.959085853872122,9.001709599945942,14.126911794324574,,5.877672879881804,
8211,MediaPipe_Heavy,3.603779780093102,12,False,False,51.56064390598706,2,False,5.282689173649231,1.9242287426281548,1.6783736867914703,3.1930491312745155,1.7076593593686837,3.651439921118059,5.069138707377543,6.748585401225557,3.563412587173838,1.2842384607722839,3.289165944182941,5.8533762455549425
8690,MediaPipe_Heavy,16.200084670502207,6,False,False,125.90174740645978,3,False,8.275300003335591,12.073168343824282,,2.6329881356613667,,8.152138342258972,33.60683876042987,32.46007443750315,,,,
9448,MediaPipe_Heavy,8.08190783848015,8,False,False,232.88892202077795,1,True,6.293689267641913,14.602831298432752,5.547683123329325,10.497602585644675,4.348838400918825,5.166876762954307,7.247176864713708,10.950564404205702,,,,
9483,MediaPipe_Heavy,4.881685208277248,11,False,False,135.67332088513203,1,True,3.1475396801921485,2.671446716640644,7.751542616686723,6.392497752795704,1.838829989000097,10.07539045676381,4.484226795306008,6.113830473871101,4.953255880099027,3.074592402119716,3.1953845275747526,
