model,all_12_mean,hips_only_mean,without_hips_mean,hip_minus_all,all_minus_without_hips
MoveNet_MultiPose,10.516326715568798,11.289264505899354,10.456305050480553,0.7729377903305554,0.0600216650882448
YOLOv8_Medium,10.85754813620686,14.178040993660309,10.188832763568142,3.3204928574534485,0.6687153726387187
YOLOv8_Small,11.433383981096162,14.114453728282173,10.908879164783412,2.6810697471860117,0.5245048163127493
MediaPipe_Heavy,11.513732980600059,16.156939429647302,10.470166025870041,4.643206449047243,1.043566954730018
MediaPipe_Full,12.528106602630674,16.72513139718828,11.663541689869955,4.197024794557608,0.8645649127607182
YOLOv8_Nano,12.766196325555258,14.59204829468091,12.441551654893397,1.825851969125651,0.3246446706618613
MoveNet_SP_Thunder,13.32517788163879,16.25807399466837,12.349077770395292,2.932896113029578,0.9761001112434986
MediaPipe_Lite,13.54196350188048,15.92999442237884,13.147443749431643,2.3880309204983607,0.3945197524488364
MoveNet_SP_Lightning,14.972331397938998,18.450511431116418,13.61227105500902,3.47818003317742,1.3600603429299785
