model,Missing-Detection,Confidence-Collapse,Multi-Person-Confusion,Keypoint-Displacement,n_frames,n_failure,failure_rate_pct,Missing-Detection_pct_of_failures,Missing-Detection_pct_of_frames,Confidence-Collapse_pct_of_failures,Confidence-Collapse_pct_of_frames,Multi-Person-Confusion_pct_of_failures,Multi-Person-Confusion_pct_of_frames,Keypoint-Displacement_pct_of_failures,Keypoint-Displacement_pct_of_frames
MediaPipe,177,135,169,1102,122400,1583,1.293300653594771,11.181301326595072,0.1446078431372549,8.528111181301327,0.11029411764705882,10.675931775110548,0.1380718954248366,69.61465571699304,0.9003267973856209
MoveNet,369,964,38,504,122400,1875,1.531862745098039,19.68,0.3014705882352941,51.413333333333334,0.7875816993464053,2.0266666666666664,0.03104575163398693,26.88,0.411764705882353
YOLOv8,3580,779,42,1209,122400,5610,4.583333333333333,63.81461675579323,2.9248366013071894,13.885918003565061,0.636437908496732,0.7486631016042781,0.03431372549019608,21.550802139037433,0.9877450980392157
