video_id,sampled_frames,mediapipe_0p,mediapipe_1p,mediapipe_2p_plus,mediapipe_0p_pct,mediapipe_1p_pct,mediapipe_2p_plus_pct,movenet_0p,movenet_1p,movenet_2p_plus,movenet_0p_pct,movenet_1p_pct,movenet_2p_plus_pct,yolo_0p,yolo_1p,yolo_2p_plus,yolo_0p_pct,yolo_1p_pct,yolo_2p_plus_pct
PM_010,408,2,216,190,0.4901960784313725,52.94117647058824,46.5686274509804,0,334,74,0.0,81.86274509803921,18.137254901960784,0,331,77,0.0,81.12745098039215,18.87254901960784
PM_011,164,0,120,44,0.0,73.17073170731707,26.82926829268293,0,136,28,0.0,82.92682926829268,17.073170731707318,0,111,53,0.0,67.6829268292683,32.31707317073171
PM_108,283,0,272,11,0.0,96.113074204947,3.886925795053004,0,255,28,0.0,90.1060070671378,9.89399293286219,0,0,283,0.0,0.0,100.0
PM_119,152,0,128,24,0.0,84.21052631578947,15.789473684210526,0,111,41,0.0,73.02631578947368,26.973684210526315,0,0,152,0.0,0.0,100.0
PM_121,171,0,170,1,0.0,99.41520467836256,0.5847953216374269,0,150,21,0.0,87.71929824561403,12.280701754385964,0,0,171,0.0,0.0,100.0
TOTAL,1178,2,906,270,0.1697792869269949,76.91001697792869,22.920203735144312,0,986,192,0.0,83.70118845500849,16.298811544991512,0,442,736,0.0,37.52122241086588,62.478777589134125
