threshold,model,n_failure,Missing-Detection,Missing-Detection_pct_of_failures,Confidence-Collapse,Confidence-Collapse_pct_of_failures,Multi-Person-Confusion,Multi-Person-Confusion_pct_of_failures,Keypoint-Displacement,Keypoint-Displacement_pct_of_failures
4,MediaPipe,1583,177,11.181301326595072,4,0.2526847757422615,179,11.307643714466204,1223,77.25837018319646
4,MoveNet,1875,369,19.68,759,40.48,42,2.2399999999999998,705,37.6
4,YOLOv8,5610,3580,63.81461675579323,446,7.950089126559715,67,1.1942959001782532,1517,27.040998217468804
6,MediaPipe,1583,177,11.181301326595072,135,8.528111181301327,169,10.675931775110548,1102,69.61465571699304
6,MoveNet,1875,369,19.68,964,51.413333333333334,38,2.0266666666666664,504,26.88
6,YOLOv8,5610,3580,63.81461675579323,779,13.885918003565061,42,0.7486631016042781,1209,21.550802139037433
8,MediaPipe,1583,177,11.181301326595072,560,35.375868603916615,119,7.517372078332281,727,45.92545799115603
8,MoveNet,1875,369,19.68,1089,58.08,35,1.866666666666667,382,20.37333333333333
8,YOLOv8,5610,3580,63.81461675579323,1446,25.775401069518715,27,0.4812834224598931,557,9.928698752228165
