patient_id,video_id,exercise,camera,model,video_median_nmpjpe
2,PM_022,Ex6,c18,MoveNet,7.225934211565713
2,PM_022,Ex6,c18,YOLOv8,11.10590962457848
3,PM_023,Ex1,c17,MediaPipe,11.641400092922327
3,PM_023,Ex1,c17,MoveNet,8.64617100381981
3,PM_023,Ex1,c17,YOLOv8,9.564470915951627
3,PM_023,Ex1,c18,MediaPipe,15.430409010854842
3,PM_023,Ex1,c18,MoveNet,12.907514455112409
3,PM_023,Ex1,c18,YOLOv8,13.017284042312198
3,PM_024,Ex1,c17,MediaPipe,16.277123105363565
3,PM_024,Ex1,c17,MoveNet,11.389134635969064
3,PM_024,Ex1,c17,YOLOv8,13.518990906941927
3,PM_024,Ex1,c18,MediaPipe,11.791454769971272
3,PM_024,Ex1,c18,MoveNet,10.2518458289017
3,PM_024,Ex1,c18,YOLOv8,11.0032663726156
3,PM_025,Ex2,c17,MediaPipe,12.63697462060872
3,PM_025,Ex2,c17,MoveNet,7.362191968762982
3,PM_025,Ex2,c17,YOLOv8,8.742357761709535
3,PM_025,Ex2,c18,MediaPipe,12.399179946652229
3,PM_025,Ex2,c18,MoveNet,9.888870311338694
3,PM_025,Ex2,c18,YOLOv8,13.20217695788654
3,PM_026,Ex2,c17,MediaPipe,13.430048808263074
3,PM_026,Ex2,c17,MoveNet,11.147846770119257
3,PM_026,Ex2,c17,YOLOv8,12.887178042131923
3,PM_026,Ex2,c18,MediaPipe,10.245844233648828
3,PM_026,Ex2,c18,MoveNet,10.840218484443145
3,PM_026,Ex2,c18,YOLOv8,11.181559689108544
3,PM_027,Ex4,c17,MediaPipe,12.174959981161429
3,PM_027,Ex4,c17,MoveNet,10.328849785955954
3,PM_027,Ex4,c17,YOLOv8,12.543188452687708
3,PM_027,Ex4,c18,MediaPipe,13.582561382497904
3,PM_027,Ex4,c18,MoveNet,12.672123604014171
3,PM_027,Ex4,c18,YOLOv8,14.51361422140958
3,PM_028,Ex5,c17,MediaPipe,10.769096812106234
3,PM_028,Ex5,c17,MoveNet,10.283048562595177
3,PM_028,Ex5,c17,YOLOv8,14.23506550102945
3,PM_028,Ex5,c18,MediaPipe,11.831874400906582
3,PM_028,Ex5,c18,MoveNet,11.881569961118656
3,PM_028,Ex5,c18,YOLOv8,16.73557543479484
3,PM_029,Ex6,c17,MediaPipe,11.25854990149732
3,PM_029,Ex6,c17,MoveNet,8.441259012036703
3,PM_029,Ex6,c17,YOLOv8,11.82993202656492
3,PM_029,Ex6,c18,MediaPipe,9.83804515346782
3,PM_029,Ex6,c18,MoveNet,8.650753476490435
3,PM_029,Ex6,c18,YOLOv8,11.8769543346272
3,PM_030,Ex3,c17,MediaPipe,12.60004851961601
3,PM_030,Ex3,c17,MoveNet,10.420407019285161
3,PM_030,Ex3,c17,YOLOv8,13.617228910586643
3,PM_030,Ex3,c18,MediaPipe,11.158470278502296
3,PM_030,Ex3,c18,MoveNet,10.673463507265836
3,PM_030,Ex3,c18,YOLOv8,11.08880423021126
4,PM_031,Ex3,c17,MediaPipe,9.17390291634453
4,PM_031,Ex3,c17,MoveNet,9.947286342113285
4,PM_031,Ex3,c17,YOLOv8,13.57087040823922
