model,mean,median,std,n_clusters
MoveNet,10.734497459365112,10.852617901600205,1.9360695255181173,10
MediaPipe,11.741220348163345,12.196420005133055,1.8811176183007083,10
YOLOv8,12.231527718296292,12.78253519701487,1.8647507521720494,10
