model_a,model_b,n_pairs,mean_diff,median_diff,effect_size_dz,ci_low,ci_high,p_value,p_value_holm,level
MediaPipe,MoveNet,10,1.0067228887982327,0.8659766344286384,1.479931786235456,0.6218043600981658,1.421014218837596,0.001953125,0.005859375,patient
MediaPipe,YOLOv8,10,-0.49030737013294495,-0.38635876321107343,-0.7885683955113886,-0.8518650389094676,-0.11941276921533236,0.03515625,0.03515625,patient
MoveNet,YOLOv8,10,-1.4970302589311777,-1.4271423020745955,-4.05212232067297,-1.7098550862303306,-1.2736215118938088,0.001953125,0.005859375,patient
