model_a,model_b,n_pairs,mean_diff,median_diff,effect_size_dz,ci_low,ci_high,p_value,p_value_holm,level
MediaPipe,MoveNet,126,1.1581918774725584,1.1403442964848463,0.807152390746081,0.9139638561009066,1.4088455635478163,1.999960000799984e-05,5.9998800023999525e-05,video
MediaPipe,YOLOv8,126,-0.35513185450925006,-0.1773182219208298,-0.19754284468620695,-0.6750874120994571,-0.04564508247693894,0.02897942041159177,0.02897942041159177,video
MoveNet,YOLOv8,126,-1.5133237319818091,-1.1820676780338646,-0.9923866058338712,-1.7818534952559943,-1.2507810481844852,1.999960000799984e-05,5.9998800023999525e-05,video
